MARIO
DONKEY KONG
LINK
SAMUS
DARK SAMUS
YOSHI
KIRBY
FOX
PIKACHU
LUIGI
NESS
CAPTAIN FALCON
JIGGLYPUFF
PEACH
DAISY
BOWSER
ICE CLIMBERS
SHEIK
ZELDA
DR. MARIO
PICHU
FALCO
MARTH
LUCINA
YOUNG LINK
GANONDORF
MEWTWO
ROY
CHROM
MR. GAME & WATCH
META KNIGHT
PIT
DARK PIT
ZERO SUIT SAMUS
WARIO
SNAKE
IKE
POKÉMON TRAINER
DIDDY KONG
LUCAS
SONIC
KING DEDEDE
OLIMAR
LUCARIO
R.O.B.
TOON LINK
WOLF
VILLAGER
MEGA MAN
Wii Fit TRAINER
ROSALINA & LUMA
LITTLE MAC
GRENINJA
PALUTENA
PAC-MAN
ROBIN
SHULK
BOWSER JR.
DUCK HUNT DUO
RYU
KEN
CLOUD
CORRIN
BAYONETTA
INKLING
RIDLEY
SIMON
RICHTER
KING K. ROOL
ISABELLE
INCINEROAR
PIRANHA PLANT
JOKER
HERO
BANJO & KAZOOIE
TERRY
BYLETH
MIN MIN
STEVE
SEPHIROTH
PYRA
